age,gender,race,education,occupation,hours_per_week,capital_gain,capital_loss,predicted_label,true_label
21,Male,White,Masters,Adm-clerical,45,0,0,1,1
42,Male,Black,Some-college,Sales,18,0,0,0,0
31,Male,White,Some-college,Sales,60,12480,0,1,1
26,Male,White,Some-college,Other-service,34,0,0,0,0
43,Female,White,HS-grad,Prof-specialty,30,0,0,0,0
19,Male,White,HS-grad,Exec-managerial,37,0,0,0,0
37,Female,Asian-Pac-Islander,HS-grad,Craft-repair,55,0,0,0,0
45,Female,White,Bachelors,Prof-specialty,62,0,3837,1,1
64,Male,White,Masters,Craft-repair,41,0,0,1,1
24,Male,Black,HS-grad,Prof-specialty,49,3211,0,0,0
61,Male,Black,Some-college,Prof-specialty,40,0,0,0,0
25,Female,White,Masters,Exec-managerial,29,0,0,1,1
64,Female,White,Masters,Sales,54,0,0,1,1
52,Male,White,HS-grad,Adm-clerical,33,0,0,0,0
31,Female,White,Bachelors,Prof-specialty,55,0,0,1,1
34,Male,White,Bachelors,Exec-managerial,52,0,0,1,1
53,Male,White,HS-grad,Craft-repair,46,2022,0,0,0
57,Female,White,Bachelors,Other-service,58,0,0,0,1
21,Male,White,Masters,Other-service,62,0,0,1,1
19,Male,White,Some-college,Sales,38,0,0,0,0
23,Male,Black,Some-college,Other-service,31,0,0,0,0
59,Female,White,Masters,Prof-specialty,21,0,0,1,1
21,Male,Asian-Pac-Islander,Bachelors,Craft-repair,62,0,0,1,1
46,Female,Other,Some-college,Prof-specialty,35,0,0,0,0
35,Male,White,Some-college,Other-service,51,0,0,0,0
43,Male,White,Bachelors,Adm-clerical,32,0,0,1,1
61,Female,White,Doctorate,Other-service,55,0,0,1,1
51,Male,White,HS-grad,Adm-clerical,32,0,0,0,0
27,Male,White,Some-college,Other-service,28,0,0,0,0
53,Male,White,Some-college,Sales,37,0,0,0,0
31,Male,Asian-Pac-Islander,Bachelors,Craft-repair,34,0,0,1,1
48,Male,White,Some-college,Adm-clerical,45,0,0,1,0
32,Female,White,Masters,Exec-managerial,39,0,0,1,1
25,Male,White,Some-college,Sales,46,0,0,0,0
31,Female,White,HS-grad,Prof-specialty,37,0,0,0,0
40,Male,Black,Some-college,Other-service,33,0,0,0,0
57,Male,White,Bachelors,Craft-repair,34,10460,0,1,1
38,Male,White,HS-grad,Craft-repair,60,0,0,0,0
33,Female,White,Bachelors,Other-service,42,0,0,0,0
62,Female,White,Some-college,Exec-managerial,20,0,0,0,0
35,Female,White,Some-college,Adm-clerical,34,0,0,0,0
64,Male,White,Some-college,Other-service,40,0,0,0,0
41,Male,White,Some-college,Craft-repair,58,0,0,0,1
43,Male,Asian-Pac-Islander,Bachelors,Exec-managerial,50,0,0,1,1
42,Female,Black,HS-grad,Exec-managerial,30,0,0,0,0
62,Male,White,Bachelors,Prof-specialty,64,0,0,1,1
58,Male,White,Bachelors,Exec-managerial,39,0,0,1,1
46,Male,White,Bachelors,Sales,52,0,0,1,1
32,Male,White,HS-grad,Craft-repair,28,0,0,0,0
62,Male,White,HS-grad,Sales,16,0,0,0,0
18,Female,White,Bachelors,Exec-managerial,25,0,0,0,1
42,Male,White,Bachelors,Exec-managerial,10,0,0,1,1
24,Female,White,Bachelors,Sales,61,0,0,0,1
26,Female,White,Some-college,Prof-specialty,42,0,0,0,0
41,Male,White,Some-college,Exec-managerial,30,0,0,0,1
18,Male,White,Some-college,Sales,44,0,0,0,0
61,Male,White,HS-grad,Sales,41,9512,0,0,0
25,Female,Black,HS-grad,Craft-repair,46,0,0,0,0
41,Male,White,Some-college,Prof-specialty,52,0,0,1,0
28,Male,White,HS-grad,Adm-clerical,37,0,0,0,0
34,Male,White,HS-grad,Sales,31,0,0,0,0
25,Male,White,Bachelors,Craft-repair,48,0,0,1,1
52,Male,White,Bachelors,Adm-clerical,48,0,0,0,1
52,Male,White,HS-grad,Craft-repair,41,0,0,0,0
50,Female,Black,HS-grad,Craft-repair,61,0,0,0,0
22,Female,White,Masters,Other-service,35,0,0,1,1
59,Male,Black,Bachelors,Prof-specialty,31,0,0,1,1
56,Male,White,Bachelors,Exec-managerial,44,0,1066,1,1
58,Female,White,Some-college,Prof-specialty,33,0,0,0,0
45,Male,White,Bachelors,Adm-clerical,44,0,0,0,1
24,Female,White,HS-grad,Other-service,31,0,0,0,0
26,Male,White,Some-college,Prof-specialty,35,0,0,0,0
25,Female,White,Bachelors,Exec-managerial,58,0,0,1,1
29,Male,White,Bachelors,Prof-specialty,35,0,0,1,1
51,Male,White,HS-grad,Prof-specialty,32,0,0,0,0
50,Female,White,HS-grad,Prof-specialty,51,0,0,0,0
40,Male,White,Masters,Sales,29,0,0,1,1
41,Male,Black,Some-college,Sales,33,0,0,0,0
54,Male,White,Bachelors,Prof-specialty,45,0,0,1,1
52,Female,White,Masters,Exec-managerial,49,0,0,1,1
61,Male,White,HS-grad,Exec-managerial,52,0,0,0,0
57,Female,White,Bachelors,Exec-managerial,32,0,0,0,1
39,Male,White,Masters,Exec-managerial,45,0,0,1,1
44,Male,White,HS-grad,Other-service,35,0,0,0,0
52,Female,White,HS-grad,Other-service,33,0,0,0,0
18,Male,White,Bachelors,Craft-repair,52,0,0,1,1
52,Male,White,HS-grad,Prof-specialty,34,0,0,0,0
54,Male,White,HS-grad,Prof-specialty,42,0,0,0,0
64,Male,Black,Some-college,Craft-repair,41,0,0,0,0
31,Male,White,Bachelors,Exec-managerial,29,0,3539,1,1
20,Male,Black,HS-grad,Adm-clerical,49,0,0,0,0
18,Male,White,HS-grad,Adm-clerical,45,0,0,0,0
22,Male,White,Doctorate,Craft-repair,20,0,0,1,1
43,Male,Black,Masters,Adm-clerical,42,0,0,1,1
31,Male,Black,Masters,Sales,32,0,0,1,1
56,Female,White,Some-college,Prof-specialty,50,0,0,0,0
44,Female,White,Some-college,Adm-clerical,25,0,0,0,0
26,Male,White,HS-grad,Other-service,36,0,0,0,0
32,Male,White,HS-grad,Other-service,43,0,0,0,0
32,Female,White,Some-college,Sales,40,0,0,0,0
43,Male,White,Some-college,Prof-specialty,47,0,0,1,0
59,Male,Black,Some-college,Sales,24,0,0,0,0
30,Female,White,HS-grad,Prof-specialty,56,16402,0,1,0
49,Male,White,Bachelors,Prof-specialty,45,0,0,1,1
56,Male,White,HS-grad,Adm-clerical,53,0,0,0,0
49,Female,White,Doctorate,Other-service,48,12462,0,1,1
21,Female,White,HS-grad,Craft-repair,39,0,0,0,0
47,Male,White,HS-grad,Adm-clerical,27,0,0,0,0
54,Male,White,Some-college,Exec-managerial,34,0,0,0,1
40,Male,Black,HS-grad,Sales,55,0,0,0,0
56,Female,White,Some-college,Exec-managerial,53,0,0,0,1
62,Male,White,HS-grad,Prof-specialty,33,0,0,0,0
32,Male,White,HS-grad,Adm-clerical,11,0,0,0,0
60,Female,Black,HS-grad,Exec-managerial,37,0,0,0,0
46,Male,White,Some-college,Exec-managerial,37,0,0,0,1
53,Male,White,Bachelors,Other-service,37,0,3172,1,1
30,Male,White,Bachelors,Exec-managerial,45,0,0,1,1
49,Male,White,Some-college,Other-service,48,0,0,0,0
24,Male,White,Bachelors,Other-service,49,5135,0,1,1
39,Female,White,Masters,Prof-specialty,44,0,0,1,1
45,Female,Black,Masters,Other-service,21,0,0,0,1
19,Male,White,HS-grad,Prof-specialty,36,0,0,0,0
59,Male,White,Masters,Other-service,63,0,0,1,1
62,Male,White,Bachelors,Other-service,43,0,0,1,1
23,Male,White,Masters,Prof-specialty,43,0,0,1,1
45,Male,White,HS-grad,Exec-managerial,43,0,0,0,0
45,Female,White,Masters,Sales,44,0,0,1,1
61,Male,White,Bachelors,Adm-clerical,16,0,0,0,1
61,Male,White,Masters,Adm-clerical,37,0,0,1,1
37,Male,Black,Bachelors,Prof-specialty,39,0,0,0,1
47,Male,White,HS-grad,Exec-managerial,52,0,0,0,0
28,Male,White,Bachelors,Sales,40,0,0,0,1
45,Male,White,Bachelors,Craft-repair,23,0,0,1,1
42,Male,White,Some-college,Prof-specialty,44,0,0,0,0
56,Female,White,HS-grad,Craft-repair,31,0,0,0,0
50,Male,White,Some-college,Adm-clerical,27,3192,0,0,0
18,Male,Black,Some-college,Adm-clerical,31,0,0,0,0
44,Male,White,Masters,Sales,45,0,0,1,1
30,Female,Black,Bachelors,Sales,52,0,900,0,0
58,Male,Other,HS-grad,Craft-repair,44,0,0,0,0
20,Male,White,Some-college,Adm-clerical,46,0,0,0,0
56,Male,White,HS-grad,Sales,44,0,0,0,0
23,Female,Black,Bachelors,Sales,41,0,0,0,0
25,Male,Asian-Pac-Islander,Masters,Adm-clerical,46,9393,0,1,1
44,Male,White,Some-college,Adm-clerical,15,0,0,0,0
26,Male,White,Some-college,Exec-managerial,41,0,0,0,1
54,Male,White,Bachelors,Other-service,29,0,0,0,1
50,Male,Other,Masters,Sales,51,0,1364,1,1
59,Male,White,Bachelors,Craft-repair,38,0,0,1,1
61,Female,White,Bachelors,Prof-specialty,40,0,0,0,1
41,Male,White,Some-college,Prof-specialty,24,0,0,0,0
32,Male,White,Bachelors,Adm-clerical,50,0,0,1,1
49,Male,White,HS-grad,Other-service,46,0,0,0,0
49,Male,White,Bachelors,Craft-repair,45,0,0,1,1
41,Male,Black,Some-college,Exec-managerial,31,0,0,0,0
58,Female,White,Some-college,Sales,32,0,0,0,0
29,Female,White,Masters,Exec-managerial,42,0,0,1,1
56,Male,White,Some-college,Craft-repair,33,0,0,0,0
19,Male,White,Bachelors,Exec-managerial,44,0,0,1,1
20,Male,White,HS-grad,Adm-clerical,18,8779,0,0,0
54,Male,White,HS-grad,Prof-specialty,35,0,0,0,0
34,Male,White,Bachelors,Adm-clerical,57,0,0,1,1
19,Female,White,HS-grad,Sales,44,0,0,0,0
19,Female,White,Some-college,Adm-clerical,41,16783,790,0,0
45,Male,White,Bachelors,Craft-repair,59,0,0,0,1
40,Male,White,HS-grad,Craft-repair,16,0,0,0,0
54,Female,White,Bachelors,Sales,31,0,0,0,1
49,Male,White,Bachelors,Sales,35,0,0,0,1
50,Male,White,Some-college,Prof-specialty,48,0,0,1,1
18,Male,White,HS-grad,Exec-managerial,48,0,0,0,0
36,Male,White,HS-grad,Prof-specialty,31,0,0,0,0
19,Male,White,Some-college,Adm-clerical,49,0,0,0,0
61,Male,White,Bachelors,Exec-managerial,35,0,0,1,1
43,Female,White,HS-grad,Sales,52,0,0,0,0
49,Male,White,HS-grad,Craft-repair,29,0,0,0,0
23,Male,White,Masters,Adm-clerical,38,0,0,1,1
49,Female,White,Some-college,Prof-specialty,35,0,2907,0,0
21,Male,White,Some-college,Other-service,50,0,0,0,0
28,Male,White,HS-grad,Other-service,34,0,0,0,0
34,Male,White,Some-college,Sales,39,0,0,0,0
55,Male,White,Bachelors,Exec-managerial,45,0,0,1,1
41,Male,White,Bachelors,Other-service,45,0,1179,1,1
22,Female,White,Bachelors,Exec-managerial,48,0,0,1,1
51,Male,White,HS-grad,Craft-repair,42,0,0,0,0
23,Male,White,HS-grad,Sales,35,0,0,0,0
39,Male,White,Masters,Sales,36,0,0,1,1
28,Male,Black,Some-college,Adm-clerical,40,7524,0,0,0
33,Female,White,HS-grad,Adm-clerical,42,0,3948,0,0
50,Male,White,HS-grad,Exec-managerial,38,0,0,0,0
26,Male,White,Bachelors,Other-service,40,0,0,0,1
23,Female,White,Bachelors,Other-service,24,0,0,0,1
33,Male,White,Masters,Prof-specialty,46,0,0,1,1
46,Female,White,HS-grad,Exec-managerial,41,0,0,0,0
20,Male,White,Some-college,Other-service,50,0,0,0,0
37,Male,White,Bachelors,Adm-clerical,40,0,0,1,1
53,Female,White,Bachelors,Adm-clerical,22,0,0,0,0
36,Female,White,HS-grad,Adm-clerical,36,0,0,0,0
43,Male,Black,Bachelors,Exec-managerial,38,0,0,0,1
20,Male,White,Bachelors,Sales,47,0,0,1,1
36,Male,White,Doctorate,Prof-specialty,19,0,0,1,1
37,Male,White,Bachelors,Prof-specialty,40,0,0,1,1
49,Female,White,Masters,Adm-clerical,45,0,0,1,1
24,Male,White,HS-grad,Craft-repair,33,4903,0,0,0
58,Male,White,Bachelors,Exec-managerial,40,0,0,1,1
50,Female,White,HS-grad,Other-service,33,0,0,0,0
57,Male,White,Some-college,Other-service,32,0,0,0,0
56,Male,White,HS-grad,Sales,35,0,0,0,0
35,Female,White,Some-college,Adm-clerical,32,0,0,0,0
57,Female,White,Bachelors,Craft-repair,46,0,0,0,1
18,Female,White,Some-college,Adm-clerical,32,0,0,0,0
28,Male,White,Bachelors,Craft-repair,30,0,0,1,0
45,Female,White,Masters,Prof-specialty,57,0,0,1,1
42,Male,White,Masters,Craft-repair,49,0,0,1,1
40,Male,White,Some-college,Prof-specialty,21,0,0,0,0
48,Female,White,HS-grad,Prof-specialty,32,0,1271,0,0
47,Male,White,Bachelors,Exec-managerial,42,0,0,1,1
59,Female,White,Bachelors,Craft-repair,43,0,0,0,0
52,Male,White,Some-college,Sales,25,0,0,0,0
24,Male,White,HS-grad,Sales,51,0,0,0,0
33,Female,White,Some-college,Craft-repair,48,0,0,0,0
43,Male,White,Bachelors,Exec-managerial,44,0,0,1,1
19,Male,White,HS-grad,Sales,53,0,0,0,0
18,Male,White,Bachelors,Adm-clerical,44,0,0,0,1
29,Female,Asian-Pac-Islander,Some-college,Sales,44,0,0,0,0
22,Male,White,Masters,Exec-managerial,55,0,0,1,1
54,Male,White,Some-college,Prof-specialty,51,0,0,0,1
49,Male,White,HS-grad,Prof-specialty,31,0,0,0,0
26,Female,Black,Masters,Prof-specialty,46,0,0,1,1
58,Female,White,Masters,Exec-managerial,33,0,0,1,1
52,Female,White,HS-grad,Prof-specialty,45,0,0,0,0
36,Male,White,Some-college,Prof-specialty,44,0,0,0,0
33,Male,White,Some-college,Exec-managerial,26,0,0,0,0
20,Male,White,Some-college,Adm-clerical,38,0,0,0,0
37,Male,White,Doctorate,Sales,42,0,3334,1,1
41,Male,White,HS-grad,Exec-managerial,35,0,0,0,0
50,Female,White,HS-grad,Exec-managerial,43,0,0,0,0
41,Female,White,Some-college,Craft-repair,48,0,0,0,0
28,Male,White,Bachelors,Prof-specialty,39,0,0,1,1
25,Male,White,Doctorate,Other-service,42,0,0,1,1
53,Female,White,Doctorate,Adm-clerical,53,0,0,1,1
55,Male,White,Masters,Other-service,44,0,0,1,1
57,Male,Black,Some-college,Craft-repair,42,0,0,0,0
37,Male,White,HS-grad,Adm-clerical,30,0,0,0,0
52,Male,White,HS-grad,Prof-specialty,46,0,0,0,0
42,Female,White,Bachelors,Other-service,43,0,0,0,0
52,Male,Black,HS-grad,Prof-specialty,52,0,0,0,0
42,Male,White,HS-grad,Prof-specialty,40,0,0,0,0
46,Male,White,HS-grad,Sales,21,0,0,0,0
35,Female,White,Some-college,Adm-clerical,22,0,165,0,0
63,Male,White,Some-college,Adm-clerical,47,0,0,0,0
35,Male,White,Bachelors,Craft-repair,34,0,0,1,1
19,Female,Black,HS-grad,Exec-managerial,44,0,0,0,0
52,Female,White,Some-college,Prof-specialty,41,14513,0,1,1
33,Female,White,Bachelors,Prof-specialty,38,0,0,0,1
58,Female,White,Bachelors,Other-service,39,0,0,0,1
53,Male,White,Bachelors,Craft-repair,31,0,0,1,1
50,Male,White,Masters,Adm-clerical,39,0,0,1,1
21,Male,White,Bachelors,Sales,34,0,0,0,0
50,Male,White,Some-college,Adm-clerical,36,4876,0,0,0
31,Female,White,HS-grad,Sales,36,0,0,0,0
38,Female,White,HS-grad,Sales,37,0,0,0,0
37,Female,White,Bachelors,Adm-clerical,49,0,0,0,1
25,Male,Asian-Pac-Islander,HS-grad,Other-service,38,0,0,0,0
24,Female,White,Masters,Prof-specialty,50,0,0,1,1
20,Female,White,Some-college,Sales,55,0,0,0,0
34,Male,White,Some-college,Other-service,48,0,0,0,0
50,Female,White,Masters,Craft-repair,45,0,0,1,1
29,Male,White,Some-college,Craft-repair,43,0,0,0,0
39,Male,White,Some-college,Sales,48,0,3117,0,0
39,Male,White,Some-college,Prof-specialty,40,0,0,0,0
63,Male,White,Bachelors,Sales,49,0,0,1,1
47,Male,White,Bachelors,Craft-repair,46,0,0,1,1
55,Male,White,Bachelors,Craft-repair,36,0,0,1,0
55,Female,White,Masters,Adm-clerical,48,0,0,1,1
62,Female,White,HS-grad,Prof-specialty,40,12709,0,0,0
25,Female,White,HS-grad,Adm-clerical,38,2417,0,0,0
44,Male,White,Some-college,Other-service,35,0,0,0,0
44,Male,White,Some-college,Other-service,41,0,0,0,0
51,Male,White,Some-college,Other-service,49,0,0,0,0
38,Male,White,HS-grad,Exec-managerial,48,0,0,0,0
47,Male,White,Masters,Other-service,43,0,3609,1,1
50,Male,Asian-Pac-Islander,HS-grad,Sales,45,0,0,0,0
45,Male,White,Bachelors,Adm-clerical,52,0,0,1,1
64,Male,White,Bachelors,Other-service,38,0,3896,0,1
50,Female,White,HS-grad,Prof-specialty,28,0,0,0,0
22,Male,White,HS-grad,Other-service,53,0,0,0,0
36,Male,White,Some-college,Sales,34,0,0,0,0
21,Male,White,Bachelors,Sales,33,0,0,1,1
52,Male,White,Doctorate,Sales,22,0,0,1,1
34,Male,White,HS-grad,Sales,45,0,0,0,0
61,Female,Black,HS-grad,Sales,23,0,0,0,0
45,Female,White,HS-grad,Prof-specialty,32,0,3284,0,0
47,Male,White,HS-grad,Exec-managerial,45,0,0,0,1
46,Male,White,Masters,Craft-repair,47,0,0,1,1
63,Male,White,HS-grad,Exec-managerial,33,0,0,0,0
23,Female,White,Bachelors,Craft-repair,38,0,0,0,0
52,Male,White,Bachelors,Adm-clerical,31,0,0,1,1
58,Male,White,HS-grad,Sales,34,0,0,0,0
54,Female,White,Some-college,Adm-clerical,42,0,0,0,0
41,Female,White,HS-grad,Adm-clerical,34,0,0,0,0
46,Female,White,Doctorate,Craft-repair,37,0,0,1,1
63,Female,Black,Masters,Prof-specialty,25,0,0,0,1
48,Female,White,Some-college,Sales,51,0,0,0,0
52,Male,Asian-Pac-Islander,Some-college,Other-service,45,0,2064,0,1
50,Male,White,Masters,Adm-clerical,47,0,0,1,1
38,Female,White,Masters,Exec-managerial,52,0,0,1,1
49,Female,White,Some-college,Sales,31,0,0,0,0
40,Female,White,HS-grad,Prof-specialty,36,0,0,0,0
50,Male,Black,HS-grad,Sales,21,0,0,0,0
20,Male,White,Bachelors,Other-service,71,0,0,1,1
35,Male,White,Some-college,Other-service,38,0,0,0,0
42,Male,White,Some-college,Adm-clerical,50,0,0,0,1
59,Male,White,Bachelors,Exec-managerial,27,0,0,1,1
48,Female,White,Masters,Adm-clerical,49,0,0,1,1
20,Male,White,HS-grad,Prof-specialty,58,0,0,0,0
57,Female,White,Bachelors,Craft-repair,39,0,0,0,1
63,Female,White,Some-college,Other-service,29,0,0,0,0
41,Male,Black,Bachelors,Exec-managerial,38,0,0,1,1
49,Male,White,Bachelors,Other-service,17,0,0,1,1
64,Male,White,Masters,Prof-specialty,39,0,0,1,1
39,Female,White,Doctorate,Prof-specialty,48,0,0,1,1
40,Female,White,Bachelors,Other-service,39,0,0,0,0
19,Female,White,Masters,Adm-clerical,37,0,0,1,1
44,Female,White,HS-grad,Other-service,45,0,0,0,0
59,Male,White,Bachelors,Adm-clerical,46,0,0,1,1
19,Female,White,Bachelors,Other-service,23,0,0,0,0
43,Female,White,Masters,Adm-clerical,40,0,0,1,1
34,Female,White,HS-grad,Craft-repair,64,0,2604,0,0
57,Male,White,Some-college,Sales,26,0,0,0,0
50,Female,White,Some-college,Sales,39,19049,0,0,0
26,Male,Other,Some-college,Adm-clerical,59,0,0,0,1
60,Female,White,HS-grad,Adm-clerical,51,0,0,0,0
56,Male,White,Some-college,Craft-repair,34,0,0,0,0
46,Male,White,HS-grad,Sales,42,0,0,0,0
59,Male,White,HS-grad,Craft-repair,39,0,0,0,0
43,Male,White,Bachelors,Prof-specialty,32,0,0,1,1
52,Male,White,Bachelors,Other-service,39,0,0,0,0
42,Female,White,Masters,Sales,37,0,0,1,1
41,Male,White,HS-grad,Adm-clerical,41,0,0,0,0
30,Male,White,Bachelors,Exec-managerial,32,2383,596,1,1
24,Male,White,Masters,Prof-specialty,27,0,0,1,1
53,Male,White,HS-grad,Other-service,39,0,0,0,0
62,Male,White,Masters,Exec-managerial,57,0,0,1,1
37,Male,White,HS-grad,Craft-repair,40,0,0,0,0
18,Male,White,Some-college,Other-service,36,0,0,0,0
25,Male,White,Some-college,Craft-repair,47,0,0,0,0
63,Male,White,HS-grad,Craft-repair,38,0,0,0,0
33,Male,White,HS-grad,Adm-clerical,58,0,0,0,0
31,Male,Other,HS-grad,Craft-repair,39,0,0,0,0
29,Female,White,Some-college,Exec-managerial,47,0,0,0,0
40,Male,White,HS-grad,Prof-specialty,32,0,1195,0,0
32,Male,Black,Bachelors,Adm-clerical,45,0,0,1,1
45,Male,White,Bachelors,Prof-specialty,42,0,0,1,1
51,Male,White,HS-grad,Craft-repair,39,0,0,0,0
19,Male,White,HS-grad,Sales,34,8286,0,0,0
49,Male,White,Some-college,Other-service,33,3829,0,0,0
40,Male,White,Bachelors,Adm-clerical,42,0,0,0,1
39,Male,White,HS-grad,Craft-repair,46,0,0,0,0
42,Male,White,Some-college,Adm-clerical,38,0,0,0,0
39,Female,White,Some-college,Sales,42,0,0,0,0
39,Female,White,HS-grad,Exec-managerial,39,0,0,0,0
59,Male,Black,HS-grad,Exec-managerial,40,0,0,0,0
23,Male,White,HS-grad,Other-service,37,0,0,0,0
32,Female,White,Some-college,Exec-managerial,40,0,0,0,0
60,Female,White,Bachelors,Sales,66,0,0,0,1
54,Male,Black,Some-college,Prof-specialty,43,0,0,0,0
50,Female,White,Masters,Sales,46,0,0,1,1
25,Male,White,HS-grad,Sales,44,0,0,0,0
61,Male,White,Bachelors,Craft-repair,37,0,0,1,0
61,Male,White,HS-grad,Exec-managerial,52,0,0,0,0
22,Male,Black,HS-grad,Adm-clerical,37,0,3926,0,0
56,Male,White,Bachelors,Other-service,50,0,0,1,1
21,Male,White,Masters,Prof-specialty,36,0,0,1,1
23,Female,Black,Some-college,Adm-clerical,30,0,0,0,0
62,Male,White,Masters,Craft-repair,43,0,655,1,1
49,Male,White,Doctorate,Craft-repair,28,7825,0,1,1
47,Male,White,Bachelors,Prof-specialty,45,0,0,1,1
64,Male,Black,HS-grad,Adm-clerical,28,0,0,0,0
52,Male,White,Bachelors,Prof-specialty,36,0,0,1,1
57,Female,White,Masters,Prof-specialty,25,0,0,1,1
33,Male,White,Some-college,Exec-managerial,68,0,0,1,1
30,Male,White,Masters,Adm-clerical,23,0,2890,1,1
59,Female,White,Bachelors,Exec-managerial,40,0,0,1,1
47,Male,White,HS-grad,Exec-managerial,51,0,0,1,1
36,Female,White,Masters,Other-service,50,0,0,1,1
34,Male,White,HS-grad,Exec-managerial,48,0,0,0,0
36,Male,White,Some-college,Sales,36,0,0,0,0
45,Male,White,Some-college,Craft-repair,53,0,0,0,0
43,Male,White,Masters,Craft-repair,49,0,0,1,1
54,Male,Black,HS-grad,Sales,42,0,0,0,0
43,Female,White,HS-grad,Prof-specialty,42,0,1419,0,0
40,Female,White,Bachelors,Adm-clerical,36,14217,0,0,1
26,Male,White,HS-grad,Adm-clerical,30,0,0,0,0
29,Female,White,HS-grad,Adm-clerical,52,0,0,0,0
18,Male,White,Masters,Exec-managerial,53,0,0,1,1
18,Male,White,Masters,Adm-clerical,31,0,0,1,1
64,Male,White,Bachelors,Adm-clerical,38,0,0,1,0
51,Female,Black,HS-grad,Adm-clerical,38,0,0,0,0
49,Male,White,Bachelors,Craft-repair,39,0,0,0,1
42,Male,White,Bachelors,Sales,40,0,0,1,1
57,Female,White,Some-college,Other-service,49,0,0,0,0
62,Male,Black,Bachelors,Prof-specialty,32,0,0,1,0
18,Male,White,HS-grad,Sales,31,0,0,0,0
33,Male,White,Bachelors,Adm-clerical,52,0,2360,1,1
56,Male,White,Some-college,Prof-specialty,35,13817,0,1,1
22,Female,White,Masters,Prof-specialty,27,0,0,1,1
39,Female,White,Bachelors,Sales,35,0,0,0,0
46,Male,White,HS-grad,Sales,36,0,0,0,0
20,Male,White,Doctorate,Sales,55,0,0,1,1
29,Male,White,Some-college,Other-service,49,0,0,0,0
43,Male,White,Bachelors,Sales,51,2077,0,1,1
33,Male,White,Some-college,Other-service,48,0,0,0,0
54,Female,White,Some-college,Exec-managerial,49,0,0,0,1
39,Male,White,Some-college,Craft-repair,33,0,0,0,0
46,Male,White,Masters,Other-service,38,0,1360,1,1
31,Male,White,Masters,Craft-repair,30,0,0,1,1
45,Female,White,HS-grad,Adm-clerical,37,0,2927,0,0
22,Female,White,Some-college,Exec-managerial,46,0,0,1,1
64,Female,White,HS-grad,Prof-specialty,41,0,0,0,0
47,Male,Asian-Pac-Islander,Masters,Sales,53,0,1902,1,1
63,Female,White,HS-grad,Adm-clerical,28,0,0,0,0
22,Male,White,Doctorate,Prof-specialty,45,0,0,1,1
29,Female,White,Some-college,Craft-repair,27,0,0,0,0
33,Male,White,Bachelors,Prof-specialty,40,0,0,1,1
43,Male,White,Some-college,Sales,47,0,0,0,0
43,Female,White,HS-grad,Sales,37,0,0,0,0
