age,age_group,personal_status,employment,savings,duration,amount,predicted_label,true_label
31,30-39,male div/sep,>=7,100<=X<500,27,1677,1,1
22,Under 30,male mar/wid,>=7,500<=X<1000,55,13444,1,1
41,40-49,male single,unemployed,100<=X<500,33,9796,0,0
48,40-49,female single,1<=X<4,100<=X<500,36,14944,0,0
71,50+,male mar/wid,4<=X<7,<100,17,13585,1,1
49,40-49,female div/dep/mar,<1,<100,71,10712,0,0
34,30-39,male single,4<=X<7,500<=X<1000,19,12323,1,1
42,40-49,male single,4<=X<7,500<=X<1000,46,3553,1,1
25,Under 30,male single,1<=X<4,no known savings,49,3431,0,0
66,50+,male mar/wid,>=7,100<=X<500,51,7619,1,1
62,50+,female single,<1,<100,60,9062,0,0
60,50+,female single,4<=X<7,>=1000,60,3080,1,1
39,30-39,male single,>=7,500<=X<1000,50,10861,1,1
20,Under 30,male div/sep,<1,<100,22,2821,0,0
60,50+,male mar/wid,>=7,>=1000,35,11534,1,1
48,40-49,male single,4<=X<7,<100,49,6840,0,0
64,50+,male single,>=7,100<=X<500,71,14733,0,0
55,50+,male mar/wid,1<=X<4,<100,49,11184,0,0
50,50+,female div/dep/mar,4<=X<7,500<=X<1000,66,2631,1,1
61,50+,female single,4<=X<7,100<=X<500,30,13304,0,0
30,30-39,male single,1<=X<4,>=1000,54,5376,1,1
66,50+,male single,>=7,<100,40,2097,0,0
69,50+,male single,>=7,<100,40,14747,0,0
50,50+,male single,4<=X<7,100<=X<500,56,5016,0,1
67,50+,male div/sep,>=7,<100,54,9251,0,0
67,50+,male single,1<=X<4,>=1000,7,6300,1,1
46,40-49,male single,<1,<100,47,13984,0,0
27,Under 30,male single,4<=X<7,500<=X<1000,27,4651,1,1
28,Under 30,male mar/wid,<1,no known savings,59,4685,0,0
65,50+,female div/dep/mar,4<=X<7,<100,50,14082,0,0
19,Under 30,female div/dep/mar,unemployed,>=1000,67,5308,0,0
30,30-39,male single,>=7,500<=X<1000,69,1967,1,1
32,30-39,female div/dep/mar,>=7,<100,18,6922,1,1
63,50+,male mar/wid,>=7,>=1000,23,13292,1,1
59,50+,female div/dep/mar,>=7,<100,10,3040,1,1
67,50+,male single,>=7,100<=X<500,31,10504,1,1
26,Under 30,female single,1<=X<4,<100,40,7078,1,1
69,50+,male single,<1,500<=X<1000,32,11669,0,0
61,50+,female single,1<=X<4,100<=X<500,12,7605,1,1
36,30-39,female single,<1,no known savings,12,4805,0,0
53,50+,male mar/wid,1<=X<4,100<=X<500,14,5262,1,1
55,50+,male single,1<=X<4,<100,25,5364,0,0
25,Under 30,male single,<1,500<=X<1000,16,10055,0,0
45,40-49,male single,1<=X<4,<100,16,4810,1,1
53,50+,female single,>=7,<100,65,5785,0,0
35,30-39,male mar/wid,1<=X<4,<100,57,13925,0,0
51,50+,female single,<1,no known savings,22,5786,0,0
65,50+,male mar/wid,>=7,<100,50,11023,0,0
69,50+,male div/sep,<1,500<=X<1000,57,11624,0,0
35,30-39,male mar/wid,<1,<100,58,14050,0,1
74,50+,female single,1<=X<4,<100,52,10128,0,1
34,30-39,male single,>=7,<100,17,14228,1,1
64,50+,female single,>=7,no known savings,25,7396,1,1
25,Under 30,male single,1<=X<4,<100,31,11285,0,0
36,30-39,female div/dep/mar,<1,no known savings,35,9595,0,0
51,50+,male single,4<=X<7,100<=X<500,65,7393,0,0
29,Under 30,female single,1<=X<4,100<=X<500,49,12822,0,0
67,50+,male mar/wid,4<=X<7,no known savings,19,8070,0,0
61,50+,female single,>=7,no known savings,15,7213,1,1
40,40-49,male mar/wid,unemployed,<100,57,12061,0,0
72,50+,male single,>=7,500<=X<1000,14,8363,1,1
43,40-49,male mar/wid,<1,<100,62,8382,0,0
54,50+,male single,1<=X<4,500<=X<1000,12,14640,1,1
25,Under 30,female single,<1,<100,69,14001,0,0
18,Under 30,female div/dep/mar,>=7,500<=X<1000,13,6500,1,1
70,50+,male single,4<=X<7,no known savings,34,13876,0,0
56,50+,female single,4<=X<7,500<=X<1000,60,6762,1,1
60,50+,male single,1<=X<4,<100,17,5410,0,0
61,50+,male mar/wid,1<=X<4,>=1000,54,10180,0,0
27,Under 30,female div/dep/mar,<1,100<=X<500,51,13034,0,0
20,Under 30,female div/dep/mar,>=7,<100,65,6909,1,1
40,40-49,male div/sep,1<=X<4,500<=X<1000,24,6207,1,1
42,40-49,male mar/wid,1<=X<4,no known savings,57,7346,0,0
50,50+,male single,<1,100<=X<500,52,14129,0,0
55,50+,male single,>=7,no known savings,31,2519,1,1
44,40-49,female single,<1,500<=X<1000,52,1233,0,1
25,Under 30,female div/dep/mar,4<=X<7,500<=X<1000,12,699,1,1
40,40-49,female div/dep/mar,>=7,100<=X<500,28,13972,1,1
57,50+,female div/dep/mar,>=7,100<=X<500,10,10669,1,1
43,40-49,male mar/wid,>=7,<100,11,4908,1,1
70,50+,male single,1<=X<4,no known savings,30,9984,0,0
68,50+,male single,>=7,500<=X<1000,60,14613,1,1
24,Under 30,female div/dep/mar,4<=X<7,500<=X<1000,37,7049,1,1
68,50+,male single,>=7,100<=X<500,70,1822,1,1
40,40-49,male single,>=7,100<=X<500,65,10499,0,1
69,50+,female single,>=7,<100,12,14909,1,1
58,50+,female div/dep/mar,>=7,<100,11,12109,1,1
54,50+,male div/sep,>=7,no known savings,40,3099,1,1
19,Under 30,male single,>=7,500<=X<1000,19,9228,1,1
21,Under 30,male div/sep,unemployed,>=1000,53,7512,0,0
59,50+,female div/dep/mar,>=7,100<=X<500,20,10496,1,1
18,Under 30,male single,<1,<100,65,2716,0,0
39,30-39,female div/dep/mar,4<=X<7,100<=X<500,69,9640,0,0
34,30-39,male mar/wid,1<=X<4,<100,42,4846,0,0
22,Under 30,male div/sep,<1,no known savings,9,2342,0,0
40,40-49,female div/dep/mar,1<=X<4,100<=X<500,18,11344,0,0
43,40-49,female single,1<=X<4,<100,45,11763,0,0
54,50+,male single,<1,<100,39,11703,0,0
22,Under 30,male div/sep,4<=X<7,no known savings,53,13794,0,0
63,50+,male single,>=7,<100,65,2137,0,0
69,50+,female div/dep/mar,1<=X<4,<100,61,5724,0,0
55,50+,female div/dep/mar,4<=X<7,500<=X<1000,48,9705,0,0
26,Under 30,female single,1<=X<4,<100,53,7658,0,0
31,30-39,male mar/wid,4<=X<7,100<=X<500,50,14567,0,0
49,40-49,male mar/wid,1<=X<4,500<=X<1000,57,11081,0,0
68,50+,male single,>=7,<100,37,7361,1,1
59,50+,male single,1<=X<4,>=1000,68,11060,0,0
65,50+,male mar/wid,1<=X<4,100<=X<500,70,3095,0,0
19,Under 30,female div/dep/mar,4<=X<7,>=1000,47,13195,1,1
21,Under 30,female div/dep/mar,4<=X<7,<100,53,6844,0,0
20,Under 30,female single,1<=X<4,100<=X<500,61,6150,0,0
61,50+,male mar/wid,<1,100<=X<500,16,12646,0,0
59,50+,female div/dep/mar,<1,<100,48,12027,0,0
54,50+,male single,>=7,>=1000,67,13841,1,1
66,50+,male single,4<=X<7,<100,7,3345,1,1
40,40-49,female single,<1,500<=X<1000,32,12063,0,0
44,40-49,male single,1<=X<4,no known savings,6,9140,0,0
24,Under 30,male single,>=7,no known savings,44,10318,0,1
19,Under 30,male single,1<=X<4,>=1000,65,10716,0,0
21,Under 30,male single,<1,<100,56,2713,0,0
27,Under 30,male mar/wid,>=7,>=1000,24,3430,1,1
41,40-49,male mar/wid,1<=X<4,100<=X<500,6,9835,1,1
68,50+,male single,<1,<100,61,13556,0,0
69,50+,female single,<1,500<=X<1000,51,2839,0,0
45,40-49,female div/dep/mar,unemployed,<100,6,13436,0,0
33,30-39,male single,<1,100<=X<500,67,5878,0,0
30,30-39,female div/dep/mar,4<=X<7,no known savings,22,2148,1,1
69,50+,male single,1<=X<4,500<=X<1000,14,14814,1,1
36,30-39,male single,1<=X<4,100<=X<500,48,3210,0,0
36,30-39,male single,>=7,no known savings,44,13610,0,0
61,50+,male single,1<=X<4,>=1000,14,8955,1,1
43,40-49,male div/sep,<1,100<=X<500,16,3969,0,0
57,50+,male div/sep,4<=X<7,>=1000,16,8921,1,1
38,30-39,male single,>=7,no known savings,31,3181,1,1
64,50+,female single,4<=X<7,<100,14,9855,0,0
39,30-39,male mar/wid,>=7,<100,14,11966,1,1
57,50+,male single,1<=X<4,>=1000,13,9343,1,1
32,30-39,male single,unemployed,<100,59,7745,0,0
25,Under 30,male mar/wid,1<=X<4,<100,20,1215,1,1
72,50+,female single,<1,500<=X<1000,39,11825,0,0
26,Under 30,male single,>=7,100<=X<500,6,2458,1,1
73,50+,female div/dep/mar,<1,>=1000,23,11516,0,1
55,50+,female single,1<=X<4,100<=X<500,19,624,0,1
63,50+,male single,4<=X<7,500<=X<1000,32,11018,1,1
68,50+,male single,unemployed,no known savings,12,4487,0,0
24,Under 30,female single,1<=X<4,no known savings,57,3747,0,0
20,Under 30,female div/dep/mar,<1,500<=X<1000,21,4118,0,0
62,50+,male single,unemployed,<100,47,3854,0,0
66,50+,female div/dep/mar,1<=X<4,100<=X<500,37,1493,1,1
66,50+,male mar/wid,>=7,<100,7,5463,1,1
25,Under 30,male single,<1,no known savings,7,13865,0,0
40,40-49,male single,unemployed,no known savings,11,9077,0,0
64,50+,male single,1<=X<4,<100,16,7201,0,0
39,30-39,male single,<1,100<=X<500,24,10462,0,0
74,50+,male single,>=7,no known savings,52,4098,0,0
37,30-39,male div/sep,<1,<100,55,9608,0,0
20,Under 30,female div/dep/mar,<1,500<=X<1000,19,2262,0,0
39,30-39,female div/dep/mar,4<=X<7,<100,8,10975,0,0
66,50+,female single,1<=X<4,100<=X<500,9,10924,0,0
65,50+,male mar/wid,1<=X<4,<100,38,6912,0,0
55,50+,male mar/wid,<1,100<=X<500,45,5810,0,0
55,50+,male single,4<=X<7,100<=X<500,42,13034,1,1
36,30-39,female single,<1,100<=X<500,31,14421,0,0
72,50+,female div/dep/mar,<1,<100,17,2828,0,0
46,40-49,male single,>=7,500<=X<1000,57,9949,1,1
34,30-39,male div/sep,>=7,<100,48,14820,0,0
29,Under 30,male single,unemployed,no known savings,32,11163,0,0
29,Under 30,male div/sep,1<=X<4,<100,6,6793,0,0
31,30-39,female div/dep/mar,4<=X<7,100<=X<500,25,3280,1,1
65,50+,male single,1<=X<4,<100,23,12407,0,0
59,50+,female div/dep/mar,4<=X<7,500<=X<1000,11,1667,1,1
63,50+,male mar/wid,4<=X<7,<100,61,11113,0,0
35,30-39,male mar/wid,1<=X<4,100<=X<500,10,3754,1,1
40,40-49,male single,1<=X<4,>=1000,53,10831,0,0
61,50+,male div/sep,<1,no known savings,63,2761,0,0
48,40-49,male mar/wid,4<=X<7,no known savings,13,8561,1,1
30,30-39,female single,<1,<100,70,14400,0,0
18,Under 30,male single,<1,500<=X<1000,40,5849,0,0
71,50+,male single,>=7,100<=X<500,9,3269,1,1
36,30-39,male div/sep,<1,500<=X<1000,14,13468,0,1
74,50+,male single,unemployed,no known savings,52,5136,0,0
43,40-49,male mar/wid,1<=X<4,500<=X<1000,28,12168,1,1
41,40-49,female div/dep/mar,4<=X<7,<100,16,13279,0,0
73,50+,female single,1<=X<4,100<=X<500,35,8576,0,0
21,Under 30,male single,>=7,no known savings,54,1003,1,1
46,40-49,male single,4<=X<7,500<=X<1000,25,14222,1,1
51,50+,male single,1<=X<4,500<=X<1000,24,4851,1,1
73,50+,female single,<1,<100,13,7264,0,0
74,50+,male single,1<=X<4,100<=X<500,42,6876,0,0
33,30-39,male mar/wid,unemployed,100<=X<500,60,1778,0,0
22,Under 30,male single,<1,<100,14,1464,0,1
34,30-39,male div/sep,>=7,no known savings,30,892,1,1
33,30-39,female single,1<=X<4,100<=X<500,46,11050,0,0
42,40-49,male div/sep,4<=X<7,<100,9,1137,1,1
48,40-49,male single,>=7,100<=X<500,28,13994,1,1
38,30-39,male mar/wid,4<=X<7,100<=X<500,30,1959,1,1
22,Under 30,male div/sep,<1,no known savings,20,8610,0,0
31,30-39,male mar/wid,>=7,>=1000,44,12746,1,1
47,40-49,male single,>=7,>=1000,26,12435,1,1
43,40-49,female div/dep/mar,1<=X<4,no known savings,28,5558,0,0
41,40-49,female div/dep/mar,<1,100<=X<500,53,8127,0,0
53,50+,female single,<1,500<=X<1000,43,5211,0,0
52,50+,female div/dep/mar,4<=X<7,500<=X<1000,17,6045,1,1
68,50+,male single,>=7,100<=X<500,10,3204,1,1
38,30-39,male single,<1,<100,71,5694,0,0
22,Under 30,female div/dep/mar,4<=X<7,no known savings,52,1308,0,0
45,40-49,male mar/wid,unemployed,no known savings,51,13332,0,0
35,30-39,female div/dep/mar,>=7,>=1000,39,6167,1,1
32,30-39,male single,1<=X<4,100<=X<500,11,10084,1,1
52,50+,female single,1<=X<4,<100,51,13010,0,0
34,30-39,female single,4<=X<7,100<=X<500,28,10144,1,1
18,Under 30,male single,1<=X<4,100<=X<500,28,1286,0,0
74,50+,male div/sep,1<=X<4,100<=X<500,9,1100,1,1
72,50+,male mar/wid,1<=X<4,<100,7,6470,1,1
48,40-49,male mar/wid,>=7,>=1000,46,12313,1,1
57,50+,male mar/wid,1<=X<4,100<=X<500,31,2846,0,0
61,50+,male single,1<=X<4,<100,58,3737,0,0
31,30-39,male single,1<=X<4,no known savings,34,10300,0,0
29,Under 30,male single,>=7,100<=X<500,30,1595,1,1
22,Under 30,male mar/wid,>=7,100<=X<500,7,8539,1,1
27,Under 30,male single,1<=X<4,100<=X<500,40,6632,0,0
55,50+,female div/dep/mar,>=7,100<=X<500,17,9775,1,1
34,30-39,male mar/wid,4<=X<7,500<=X<1000,57,2420,1,1
66,50+,male div/sep,4<=X<7,<100,68,13960,0,0
59,50+,female div/dep/mar,<1,no known savings,29,12721,0,0
46,40-49,male single,>=7,500<=X<1000,17,8951,1,1
65,50+,male single,4<=X<7,no known savings,29,1349,1,1
38,30-39,male single,unemployed,no known savings,26,12253,0,0
64,50+,male single,4<=X<7,>=1000,46,9025,1,1
71,50+,female single,<1,<100,61,1646,0,0
62,50+,female div/dep/mar,4<=X<7,100<=X<500,7,13959,1,1
19,Under 30,female single,<1,<100,33,1315,0,0
32,30-39,male single,>=7,100<=X<500,57,13591,1,1
39,30-39,male mar/wid,>=7,100<=X<500,70,2037,1,1
29,Under 30,male single,>=7,100<=X<500,31,5027,1,1
43,40-49,female div/dep/mar,unemployed,no known savings,18,4802,0,0
74,50+,male mar/wid,4<=X<7,100<=X<500,46,854,1,1
22,Under 30,female single,1<=X<4,>=1000,22,8560,1,1
46,40-49,male single,4<=X<7,no known savings,15,8059,0,0
18,Under 30,male mar/wid,>=7,<100,18,12369,1,1
49,40-49,male single,4<=X<7,>=1000,28,14315,1,1
28,Under 30,female div/dep/mar,1<=X<4,<100,27,7884,0,0
51,50+,male single,>=7,>=1000,14,1850,1,1
34,30-39,female div/dep/mar,>=7,500<=X<1000,61,2628,1,1
44,40-49,male mar/wid,1<=X<4,100<=X<500,62,1235,0,0
32,30-39,male single,4<=X<7,100<=X<500,23,14476,1,1
30,30-39,male single,4<=X<7,100<=X<500,40,10723,1,1
31,30-39,male single,4<=X<7,<100,59,2383,0,0
59,50+,female single,1<=X<4,500<=X<1000,41,9063,0,1
71,50+,female single,<1,<100,10,13337,0,0
60,50+,female div/dep/mar,unemployed,no known savings,46,10235,0,0
61,50+,male div/sep,4<=X<7,<100,65,3631,0,0
70,50+,female div/dep/mar,4<=X<7,500<=X<1000,15,5897,1,1
35,30-39,male single,>=7,500<=X<1000,19,4761,1,1
50,50+,male div/sep,>=7,500<=X<1000,42,13113,1,1
54,50+,male single,>=7,100<=X<500,56,7871,1,1
71,50+,female div/dep/mar,1<=X<4,100<=X<500,7,4176,1,1
46,40-49,male mar/wid,1<=X<4,>=1000,52,5841,1,1
48,40-49,male mar/wid,unemployed,100<=X<500,25,14767,0,0
35,30-39,male single,4<=X<7,<100,25,979,0,0
69,50+,female div/dep/mar,1<=X<4,<100,47,8443,0,0
27,Under 30,male mar/wid,<1,100<=X<500,14,13414,0,0
49,40-49,male mar/wid,>=7,500<=X<1000,46,10865,1,1
34,30-39,male mar/wid,unemployed,<100,52,2020,0,0
18,Under 30,female div/dep/mar,1<=X<4,no known savings,57,13299,0,0
22,Under 30,female div/dep/mar,4<=X<7,<100,71,8141,0,0
20,Under 30,male div/sep,>=7,100<=X<500,15,6820,1,1
46,40-49,male single,>=7,>=1000,44,1193,1,1
62,50+,female single,unemployed,no known savings,45,8712,0,0
55,50+,female single,<1,100<=X<500,17,12330,0,0
47,40-49,male mar/wid,<1,>=1000,34,983,1,1
58,50+,male single,1<=X<4,500<=X<1000,62,8192,0,0
25,Under 30,male mar/wid,4<=X<7,no known savings,36,5881,0,0
67,50+,male div/sep,1<=X<4,100<=X<500,25,12937,0,0
52,50+,male single,>=7,500<=X<1000,16,5317,1,1
20,Under 30,female single,<1,<100,41,9363,0,0
26,Under 30,male single,>=7,<100,27,8305,0,0
18,Under 30,male single,4<=X<7,500<=X<1000,51,13915,1,1
50,50+,male mar/wid,4<=X<7,500<=X<1000,66,4057,1,1
21,Under 30,male single,1<=X<4,100<=X<500,25,7153,0,1
47,40-49,male mar/wid,>=7,>=1000,44,14721,1,1
48,40-49,male mar/wid,4<=X<7,<100,26,882,1,1
32,30-39,female div/dep/mar,<1,500<=X<1000,61,5734,0,0
55,50+,female div/dep/mar,>=7,<100,44,12827,0,0
23,Under 30,male div/sep,1<=X<4,100<=X<500,35,7528,0,0
59,50+,male single,4<=X<7,<100,16,5726,1,1
52,50+,female single,unemployed,100<=X<500,34,3883,0,0
51,50+,male single,4<=X<7,no known savings,17,1028,1,1
44,40-49,male single,<1,100<=X<500,57,8195,0,0
59,50+,male single,1<=X<4,100<=X<500,24,708,1,1
30,30-39,male single,>=7,<100,38,9929,0,0
58,50+,female div/dep/mar,1<=X<4,100<=X<500,30,10255,0,0
39,30-39,male mar/wid,1<=X<4,no known savings,22,5537,0,0
57,50+,female div/dep/mar,4<=X<7,100<=X<500,37,8624,0,0
46,40-49,female div/dep/mar,1<=X<4,<100,39,6786,0,1
54,50+,male single,1<=X<4,no known savings,6,10092,0,0
60,50+,male mar/wid,1<=X<4,no known savings,66,7561,0,0
62,50+,female single,>=7,no known savings,67,10541,0,0
29,Under 30,female div/dep/mar,<1,100<=X<500,42,3464,0,0
58,50+,male single,1<=X<4,500<=X<1000,70,14528,0,0
22,Under 30,female div/dep/mar,1<=X<4,100<=X<500,7,6423,1,1
22,Under 30,female single,>=7,100<=X<500,21,14471,1,1
67,50+,male single,unemployed,100<=X<500,60,13528,0,0
43,40-49,male single,4<=X<7,<100,48,569,0,0
43,40-49,male single,<1,no known savings,54,6246,0,0
27,Under 30,female div/dep/mar,<1,500<=X<1000,23,7028,1,1
66,50+,male single,>=7,<100,38,7940,1,0
20,Under 30,female single,>=7,<100,20,1545,1,1
74,50+,male mar/wid,unemployed,100<=X<500,70,7114,0,0
24,Under 30,male mar/wid,>=7,<100,63,13305,0,0
23,Under 30,female single,<1,no known savings,31,5446,0,0
72,50+,female single,unemployed,<100,41,7249,0,0
19,Under 30,male single,4<=X<7,<100,7,8091,1,1
72,50+,male single,1<=X<4,no known savings,52,5473,0,0
32,30-39,female div/dep/mar,4<=X<7,<100,29,8638,0,0
49,40-49,male mar/wid,4<=X<7,100<=X<500,62,1476,1,1
19,Under 30,female div/dep/mar,unemployed,100<=X<500,69,1458,0,0
48,40-49,female single,1<=X<4,<100,41,3251,0,1
60,50+,male mar/wid,4<=X<7,<100,27,784,1,1
18,Under 30,female single,4<=X<7,<100,15,11939,0,0
28,Under 30,male single,>=7,100<=X<500,46,10182,1,1
35,30-39,male single,<1,>=1000,46,930,0,0
56,50+,male single,>=7,>=1000,64,5023,1,1
72,50+,female div/dep/mar,4<=X<7,100<=X<500,18,14435,1,1
18,Under 30,male single,1<=X<4,<100,41,13119,0,0
42,40-49,male single,<1,no known savings,69,9135,0,0
51,50+,female div/dep/mar,<1,500<=X<1000,46,10604,0,0
20,Under 30,male single,>=7,100<=X<500,40,9928,1,1
56,50+,female div/dep/mar,unemployed,no known savings,67,13230,0,0
58,50+,female div/dep/mar,>=7,no known savings,26,6146,1,1
64,50+,male single,1<=X<4,<100,8,1714,1,1
48,40-49,female single,4<=X<7,no known savings,55,977,0,0
72,50+,female div/dep/mar,1<=X<4,100<=X<500,23,13292,0,0
67,50+,female single,4<=X<7,no known savings,7,10164,1,1
74,50+,male single,unemployed,>=1000,65,8388,0,0
51,50+,male single,1<=X<4,<100,65,2065,0,0
36,30-39,male single,<1,100<=X<500,15,4744,0,0
69,50+,male single,4<=X<7,100<=X<500,47,5199,0,0
65,50+,female div/dep/mar,unemployed,>=1000,15,1159,1,1
47,40-49,male mar/wid,>=7,100<=X<500,11,13030,1,1
45,40-49,male single,1<=X<4,<100,49,10630,0,0
59,50+,male div/sep,<1,>=1000,51,11888,0,0
52,50+,male mar/wid,<1,500<=X<1000,10,1867,1,1
53,50+,female single,<1,>=1000,61,2814,0,1
25,Under 30,male single,>=7,>=1000,14,6029,1,1
18,Under 30,male single,1<=X<4,500<=X<1000,34,7492,1,1
52,50+,male single,>=7,<100,25,4891,1,1
29,Under 30,male single,<1,<100,57,12079,0,0
47,40-49,male single,<1,>=1000,64,1421,0,0
26,Under 30,male single,4<=X<7,no known savings,39,1056,0,0
36,30-39,male single,>=7,100<=X<500,62,11865,0,0
46,40-49,male mar/wid,<1,no known savings,46,12802,0,0
23,Under 30,female single,1<=X<4,<100,51,12032,0,0
58,50+,male div/sep,>=7,>=1000,68,9028,1,1
41,40-49,male mar/wid,4<=X<7,500<=X<1000,63,4038,1,1
60,50+,male single,>=7,>=1000,56,4253,1,1
64,50+,male single,4<=X<7,100<=X<500,55,5006,1,1
39,30-39,male mar/wid,unemployed,<100,19,3649,0,0
49,40-49,female div/dep/mar,4<=X<7,100<=X<500,41,11061,0,0
21,Under 30,female div/dep/mar,<1,<100,70,10106,0,0
25,Under 30,male single,<1,<100,13,10356,0,0
31,30-39,male single,>=7,500<=X<1000,34,1096,1,1
30,30-39,female single,4<=X<7,no known savings,27,12755,0,0
48,40-49,male div/sep,4<=X<7,500<=X<1000,17,8555,1,1
56,50+,male single,>=7,<100,63,9256,0,0
36,30-39,male single,>=7,100<=X<500,12,9244,1,1
42,40-49,female single,>=7,500<=X<1000,35,3354,1,1
45,40-49,male single,4<=X<7,>=1000,23,4331,1,1
30,30-39,male div/sep,>=7,>=1000,58,1464,1,1
61,50+,male single,1<=X<4,<100,37,11240,0,0
41,40-49,male mar/wid,>=7,100<=X<500,27,2867,1,1
57,50+,male mar/wid,>=7,100<=X<500,46,2063,1,1
63,50+,male single,unemployed,<100,19,2009,0,0
32,30-39,male div/sep,1<=X<4,<100,17,4457,0,0
38,30-39,male single,4<=X<7,no known savings,60,14554,0,1
71,50+,male single,>=7,100<=X<500,28,1252,1,1
41,40-49,male single,>=7,>=1000,56,918,1,0
32,30-39,male single,4<=X<7,100<=X<500,7,1984,1,1
22,Under 30,female div/dep/mar,1<=X<4,no known savings,21,6798,0,0
56,50+,female div/dep/mar,4<=X<7,no known savings,28,9332,0,0
62,50+,female div/dep/mar,1<=X<4,<100,32,3242,0,0
25,Under 30,male mar/wid,1<=X<4,no known savings,57,9636,0,0
29,Under 30,male single,unemployed,500<=X<1000,16,8700,0,0
31,30-39,male single,4<=X<7,100<=X<500,19,5866,1,1
18,Under 30,male single,<1,100<=X<500,16,11223,0,0
37,30-39,male single,unemployed,100<=X<500,50,4959,0,0
22,Under 30,female single,<1,<100,38,697,0,0
45,40-49,male single,4<=X<7,100<=X<500,25,862,1,1
45,40-49,male single,<1,100<=X<500,42,12798,0,0
66,50+,male mar/wid,4<=X<7,100<=X<500,67,6613,1,1
43,40-49,female single,4<=X<7,500<=X<1000,38,14490,1,1
35,30-39,male single,>=7,<100,41,4335,1,1
40,40-49,male mar/wid,>=7,no known savings,6,3171,1,1
59,50+,male single,1<=X<4,<100,47,9359,0,0
35,30-39,male single,<1,500<=X<1000,62,4281,0,0
60,50+,female single,4<=X<7,100<=X<500,12,2355,1,1
25,Under 30,female single,>=7,<100,32,3707,1,1
71,50+,male div/sep,1<=X<4,<100,65,11211,0,1
68,50+,male single,4<=X<7,500<=X<1000,43,13474,1,0
69,50+,male single,>=7,100<=X<500,23,2690,1,1
41,40-49,male mar/wid,>=7,no known savings,24,10987,1,1
39,30-39,male single,4<=X<7,500<=X<1000,28,4012,1,1
67,50+,male mar/wid,>=7,<100,48,2599,1,1
37,30-39,male single,>=7,no known savings,13,11791,1,1
49,40-49,female div/dep/mar,<1,<100,64,6571,0,0
54,50+,male mar/wid,1<=X<4,<100,65,14268,0,0
66,50+,female div/dep/mar,>=7,100<=X<500,33,3604,1,1
